"subject","sbj_gender","trial","value_left","value_right","RV","response","rt","last_fixation","gaze_right","Celebrity_Manipulation","Gaze_Manipulation"
1164,"Male",1,1,2,1,1,1002,"Right Item",0.594885598923284,"Non Celebrity","Gaze at Product"
1164,"Male",2,3,1,-2,0,1036,"Left Item",0.493506493506494,"Non Celebrity","Gaze at Product"
1164,"Male",3,4,4,0,0,668,"Right Item",0.508403361344538,"Snack","Snack"
1164,"Male",4,4,3,-1,0,559,"Right Item",0.256267409470752,"Snack","Snack"
1164,"Male",5,4,3,-1,0,709,"Right Item",0.482369534555712,"Non Celebrity","Gaze at Viewer"
1164,"Male",6,4,4,0,0,1044,"Left Item",0.5,"Snack","Snack"
1164,"Male",7,4,2,-2,0,877,"Left Item",0.457100591715976,"Celebrity","Gaze at Viewer"
1164,"Male",9,1,3,2,1,675,"Right Item",0.374732334047109,"Non Celebrity","Gaze at Viewer"
1164,"Male",10,1,2,1,1,600,"Right Item",0.51150895140665,"Celebrity","Gaze at Viewer"
1164,"Male",13,4,2,-2,0,825,"Right Item",0.662884927066451,"Non Celebrity","Gaze at Product"
1164,"Male",14,1,2,1,1,551,"Right Item",0.323943661971831,"Non Celebrity","Gaze at Product"
1164,"Male",15,3,2,-1,0,893,"Right Item",0.722943722943723,"Celebrity","Gaze at Viewer"
1164,"Male",16,4,3,-1,0,1225,"Left Item",0.491771539206196,"Snack","Snack"
1164,"Male",17,3,3,0,0,809,"Right Item",0.662884927066451,"Non Celebrity","Gaze at Viewer"
1164,"Male",18,4,2,-2,0,635,"Right Item",0.274647887323944,"Non Celebrity","Gaze at Product"
1164,"Male",20,4,3,-1,0,1327,"Left Item",0.353917050691244,"Non Celebrity","Gaze at Viewer"
1164,"Male",21,3,2,-1,0,693,"Right Item",0.638506876227898,"Snack","Snack"
1164,"Male",26,3,2,-1,0,876,"Right Item",0.468892261001517,"Celebrity","Gaze at Viewer"
1164,"Male",30,2,1,-1,0,1194,"Left Item",0.722943722943723,"Celebrity","Gaze at Product"
1164,"Male",31,3,2,-1,0,869,"Right Item",0.722943722943723,"Non Celebrity","Gaze at Product"
1164,"Male",33,3,2,-1,0,842,"Right Item",0.714953271028037,"Non Celebrity","Gaze at Viewer"
1164,"Male",34,4,2,-2,0,693,"Right Item",0.519138755980861,"Celebrity","Gaze at Viewer"
1164,"Male",35,3,3,0,1,2142,"Right Item",0.715461493239271,"Non Celebrity","Gaze at Viewer"
1164,"Male",37,4,1,-3,0,1042,"Right Item",0.602601156069364,"Non Celebrity","Gaze at Product"
1164,"Male",38,1,2,1,1,3453,"Right Item",0.606088847468158,"Snack","Snack"
1164,"Male",39,4,2,-2,0,835,"Right Item",0.586261980830671,"Non Celebrity","Gaze at Viewer"
1164,"Male",40,3,1,-2,0,675,"Right Item",0.631578947368421,"Celebrity","Gaze at Product"
1164,"Male",42,3,3,0,0,1409,"Left Item",0.203252032520325,"Non Celebrity","Gaze at Viewer"
1164,"Male",43,3,1,-2,0,851,"Right Item",0.617777777777778,"Celebrity","Gaze at Product"
1164,"Male",44,4,3,-1,0,677,"Right Item",0.481152993348115,"Non Celebrity","Gaze at Viewer"
1164,"Male",45,1,3,2,1,650,"Left Item",0.452488687782805,"Non Celebrity","Gaze at Viewer"
1164,"Male",47,2,2,0,0,1360,"Left Item",0.4449378330373,"Snack","Snack"
1164,"Male",49,3,2,-1,0,1092,"Right Item",0.615,"Non Celebrity","Gaze at Viewer"
1164,"Male",53,2,2,0,0,1674,"Left Item",0.422786547700755,"Snack","Snack"
1164,"Male",55,4,2,-2,0,675,"Left Item",0.395,"Snack","Snack"
1164,"Male",56,2,2,0,0,1444,"Right Item",0.377200335289187,"Snack","Snack"
1164,"Male",58,2,3,1,1,726,"Right Item",0.535123966942149,"Non Celebrity","Gaze at Viewer"
1164,"Male",61,3,2,-1,0,626,"Right Item",0.469437652811736,"Non Celebrity","Gaze at Product"
1164,"Male",62,3,1,-2,0,885,"Left Item",0.5,"Non Celebrity","Gaze at Product"
1164,"Male",63,3,4,1,0,693,"Right Item",0.56686626746507,"Snack","Snack"
1164,"Male",65,3,2,-1,0,618,"Right Item",0.305623471882641,"Snack","Snack"
1164,"Male",72,1,1,0,1,918,"Left Item",0.129283489096573,"Celebrity","Gaze at Product"
1164,"Male",73,4,1,-3,0,851,"Right Item",0.714953271028037,"Non Celebrity","Gaze at Product"
1164,"Male",74,4,1,-3,0,650,"Right Item",0.46,"Celebrity","Gaze at Product"
1164,"Male",75,2,2,0,1,977,"Right Item",0.473257698541329,"Celebrity","Gaze at Viewer"
1164,"Male",78,2,2,0,0,1118,"Left Item",0.544967880085653,"Non Celebrity","Gaze at Product"
1164,"Male",79,4,2,-2,0,841,"Right Item",0.636505460218409,"Celebrity","Gaze at Viewer"
1164,"Male",85,4,2,-2,0,675,"Right Item",0.446428571428571,"Non Celebrity","Gaze at Product"
1164,"Male",86,4,1,-3,0,684,"Right Item",0.588235294117647,"Celebrity","Gaze at Product"
1164,"Male",88,4,2,-2,0,692,"Right Item",0.552795031055901,"Non Celebrity","Gaze at Viewer"
1164,"Male",92,2,2,0,1,1043,"Left Item",0.350765306122449,"Non Celebrity","Gaze at Product"
1164,"Male",96,3,3,0,1,868,"Right Item",0.74347158218126,"Non Celebrity","Gaze at Viewer"
1164,"Male",97,3,2,-1,0,768,"Right Item",0.670840787119857,"Non Celebrity","Gaze at Viewer"
1164,"Male",98,3,1,-2,0,627,"Right Item",0.521197007481297,"Celebrity","Gaze at Product"
