"subject","trial","fix_type","fix_time","Celebrity_Manipulation","Gaze_Manipulation"
1164,1,"Product",0.439638883056897,"Non Celebrity","Gaze at Viewer"
1164,1,"Face",0.383371824480369,"Non Celebrity","Gaze at Viewer"
1164,1,"Elsewhere",0.176989292462734,"Non Celebrity","Gaze at Viewer"
1164,2,"Product",0.478632478632479,"Non Celebrity","Gaze at Product"
1164,2,"Face",0.453825307483844,"Non Celebrity","Gaze at Product"
1164,2,"Elsewhere",0.0675422138836773,"Non Celebrity","Gaze at Product"
1164,3,"Product",0.426930054424511,"Celebrity","Gaze at Viewer"
1164,3,"Face",0.482362426930054,"Celebrity","Gaze at Viewer"
1164,3,"Elsewhere",0.0907075186454351,"Celebrity","Gaze at Viewer"
1164,4,"Product",0.045002073828287,"Celebrity","Gaze at Product"
1164,4,"Face",0.131480713396931,"Celebrity","Gaze at Product"
1164,4,"Elsewhere",0.823517212774782,"Celebrity","Gaze at Product"
1164,7,"Product",0.226669348350764,"Non Celebrity","Gaze at Product"
1164,7,"Face",0.144408688656477,"Non Celebrity","Gaze at Product"
1164,7,"Elsewhere",0.628921962992759,"Non Celebrity","Gaze at Product"
1164,8,"Product",0.681223628691983,"Non Celebrity","Gaze at Product"
1164,8,"Face",0.315189873417722,"Non Celebrity","Gaze at Product"
1164,8,"Elsewhere",0.00358649789029536,"Non Celebrity","Gaze at Product"
1164,9,"Product",0.660915999178476,"Celebrity","Gaze at Product"
1164,9,"Face",0.164715547340316,"Celebrity","Gaze at Product"
1164,9,"Elsewhere",0.174368453481208,"Celebrity","Gaze at Product"
1164,11,"Product",0.197895171275279,"Non Celebrity","Gaze at Viewer"
1164,11,"Face",0.330581923235658,"Non Celebrity","Gaze at Viewer"
1164,11,"Elsewhere",0.471522905489063,"Non Celebrity","Gaze at Viewer"
1164,13,"Product",0.16908412764194,"Non Celebrity","Gaze at Viewer"
1164,13,"Face",0.62536261914629,"Non Celebrity","Gaze at Viewer"
1164,13,"Elsewhere",0.20555325321177,"Non Celebrity","Gaze at Viewer"
1164,15,"Product",0.15643924101736,"Celebrity","Gaze at Viewer"
1164,15,"Face",0.237383932176019,"Celebrity","Gaze at Viewer"
1164,15,"Elsewhere",0.606176826806621,"Celebrity","Gaze at Viewer"
20630,1,"Product",0.393588601959038,"Non Celebrity","Gaze at Product"
20630,1,"Face",0.278049866429208,"Non Celebrity","Gaze at Product"
20630,1,"Elsewhere",0.328361531611754,"Non Celebrity","Gaze at Product"
20630,2,"Product",0.255708701913187,"Celebrity","Gaze at Viewer"
20630,2,"Face",0.694507303024069,"Celebrity","Gaze at Viewer"
20630,2,"Elsewhere",0.0497839950627443,"Celebrity","Gaze at Viewer"
20630,3,"Product",0.0428454284542851,"Celebrity","Gaze at Product"
20630,3,"Face",0.62710127101271,"Celebrity","Gaze at Product"
20630,3,"Elsewhere",0.330053300533005,"Celebrity","Gaze at Product"
20630,4,"Product",0.203720304796056,"Celebrity","Gaze at Viewer"
20630,4,"Face",0.403630658897355,"Celebrity","Gaze at Viewer"
20630,4,"Elsewhere",0.392649036306589,"Celebrity","Gaze at Viewer"
20630,5,"Product",0.230839002267574,"Celebrity","Gaze at Product"
20630,5,"Face",0.759160997732426,"Celebrity","Gaze at Product"
20630,5,"Elsewhere",0.01,"Celebrity","Gaze at Product"
20630,6,"Product",0.073947209349184,"Non Celebrity","Gaze at Product"
20630,6,"Face",0.742695950030224,"Non Celebrity","Gaze at Product"
20630,6,"Elsewhere",0.183356840620592,"Non Celebrity","Gaze at Product"
20630,7,"Product",0.0990566037735849,"Celebrity","Gaze at Viewer"
20630,7,"Face",0.569114027891714,"Celebrity","Gaze at Viewer"
20630,7,"Elsewhere",0.331829368334701,"Celebrity","Gaze at Viewer"
20630,9,"Product",0.529853862212944,"Non Celebrity","Gaze at Product"
20630,9,"Face",0.375991649269311,"Non Celebrity","Gaze at Product"
20630,9,"Elsewhere",0.0941544885177453,"Non Celebrity","Gaze at Product"
20630,10,"Product",0.21214848143982,"Non Celebrity","Gaze at Viewer"
20630,10,"Face",0.688413948256468,"Non Celebrity","Gaze at Viewer"
20630,10,"Elsewhere",0.099437570303712,"Non Celebrity","Gaze at Viewer"
20630,12,"Product",0.104246284501062,"Celebrity","Gaze at Product"
20630,12,"Face",0.593205944798301,"Celebrity","Gaze at Product"
20630,12,"Elsewhere",0.302547770700637,"Celebrity","Gaze at Product"
20630,13,"Product",0.29425191948537,"Non Celebrity","Gaze at Viewer"
20630,13,"Face",0.563809919070346,"Non Celebrity","Gaze at Viewer"
20630,13,"Elsewhere",0.141938161444284,"Non Celebrity","Gaze at Viewer"
20630,15,"Product",0.110216718266254,"Non Celebrity","Gaze at Viewer"
20630,15,"Face",0.702167182662539,"Non Celebrity","Gaze at Viewer"
20630,15,"Elsewhere",0.187616099071207,"Non Celebrity","Gaze at Viewer"
31622,1,"Product",0.51300578034682,"Celebrity","Gaze at Product"
31622,1,"Face",0.400908340214699,"Celebrity","Gaze at Product"
31622,1,"Elsewhere",0.0860858794384806,"Celebrity","Gaze at Product"
31622,2,"Product",0.528975501113586,"Celebrity","Gaze at Viewer"
31622,2,"Face",0.461024498886414,"Celebrity","Gaze at Viewer"
31622,2,"Elsewhere",0.01,"Celebrity","Gaze at Viewer"
31622,3,"Product",0.417321207110376,"Celebrity","Gaze at Viewer"
31622,3,"Face",0.468788755684167,"Celebrity","Gaze at Viewer"
31622,3,"Elsewhere",0.113890037205457,"Celebrity","Gaze at Viewer"
31622,4,"Product",0.440174491067719,"Non Celebrity","Gaze at Product"
31622,4,"Face",0.409015371832156,"Non Celebrity","Gaze at Product"
31622,4,"Elsewhere",0.150810137100125,"Non Celebrity","Gaze at Product"
31622,5,"Product",0.421558387298935,"Non Celebrity","Gaze at Viewer"
31622,5,"Face",0.569667850428243,"Non Celebrity","Gaze at Viewer"
31622,5,"Elsewhere",0.00877376227282223,"Non Celebrity","Gaze at Viewer"
31622,6,"Product",0.561718098415346,"Non Celebrity","Gaze at Viewer"
31622,6,"Face",0.29232693911593,"Non Celebrity","Gaze at Viewer"
31622,6,"Elsewhere",0.145954962468724,"Non Celebrity","Gaze at Viewer"
31622,7,"Product",0.445993756503642,"Celebrity","Gaze at Product"
31622,7,"Face",0.354422476586889,"Celebrity","Gaze at Product"
31622,7,"Elsewhere",0.199583766909469,"Celebrity","Gaze at Product"
31622,9,"Product",0.805437208358694,"Celebrity","Gaze at Viewer"
31622,9,"Face",0.14201663623453,"Celebrity","Gaze at Viewer"
31622,9,"Elsewhere",0.0525461554067762,"Celebrity","Gaze at Viewer"
31622,12,"Product",0.404459901800327,"Celebrity","Gaze at Product"
31622,12,"Face",0.546031096563011,"Celebrity","Gaze at Product"
31622,12,"Elsewhere",0.0495090016366618,"Celebrity","Gaze at Product"
31622,15,"Product",0.183876999792229,"Non Celebrity","Gaze at Viewer"
31622,15,"Face",0.734676916683981,"Non Celebrity","Gaze at Viewer"
31622,15,"Elsewhere",0.0814460835237899,"Non Celebrity","Gaze at Viewer"
37448,2,"Product",0.652164990765442,"Non Celebrity","Gaze at Viewer"
37448,2,"Face",0.198645598194131,"Non Celebrity","Gaze at Viewer"
37448,2,"Elsewhere",0.149189411040427,"Non Celebrity","Gaze at Viewer"
37448,3,"Product",0.082509582408715,"Non Celebrity","Gaze at Product"
37448,3,"Face",0.47448053258019,"Non Celebrity","Gaze at Product"
37448,3,"Elsewhere",0.443009885011095,"Non Celebrity","Gaze at Product"
37448,4,"Product",0.647830474268416,"Non Celebrity","Gaze at Product"
37448,4,"Face",0.215539858728557,"Non Celebrity","Gaze at Product"
37448,4,"Elsewhere",0.136629667003027,"Non Celebrity","Gaze at Product"
37448,5,"Product",0.465242796695547,"Celebrity","Gaze at Product"
37448,5,"Face",0.426959500302237,"Celebrity","Gaze at Product"
37448,5,"Elsewhere",0.107797703002216,"Celebrity","Gaze at Product"
37448,7,"Product",0.503489326765189,"Non Celebrity","Gaze at Viewer"
37448,7,"Face",0.35611658456486,"Non Celebrity","Gaze at Viewer"
37448,7,"Elsewhere",0.140394088669951,"Non Celebrity","Gaze at Viewer"
37448,8,"Product",0.738840151834669,"Celebrity","Gaze at Viewer"
37448,8,"Face",0.251159848165331,"Celebrity","Gaze at Viewer"
37448,8,"Elsewhere",0.01,"Celebrity","Gaze at Viewer"
37448,9,"Product",0.0875631951466129,"Non Celebrity","Gaze at Viewer"
37448,9,"Face",0.664509605662285,"Non Celebrity","Gaze at Viewer"
37448,9,"Elsewhere",0.247927199191102,"Non Celebrity","Gaze at Viewer"
37448,10,"Product",0.099160008195042,"Celebrity","Gaze at Product"
37448,10,"Face",0.729768490063512,"Celebrity","Gaze at Product"
37448,10,"Elsewhere",0.171071501741446,"Celebrity","Gaze at Product"
37448,12,"Product",0.54301497369486,"Celebrity","Gaze at Viewer"
37448,12,"Face",0.44698502630514,"Celebrity","Gaze at Viewer"
37448,12,"Elsewhere",0.01,"Celebrity","Gaze at Viewer"
37448,13,"Product",0.0385858585858586,"Celebrity","Gaze at Product"
37448,13,"Face",0.745858585858585,"Celebrity","Gaze at Product"
37448,13,"Elsewhere",0.215555555555556,"Celebrity","Gaze at Product"
37448,14,"Product",0.280591572123177,"Celebrity","Gaze at Viewer"
37448,14,"Face",0.525121555915721,"Celebrity","Gaze at Viewer"
37448,14,"Elsewhere",0.194286871961102,"Celebrity","Gaze at Viewer"
37448,15,"Product",0.01,"Non Celebrity","Gaze at Product"
37448,15,"Face",0.313521241830065,"Non Celebrity","Gaze at Product"
37448,15,"Elsewhere",0.676478758169935,"Non Celebrity","Gaze at Product"
38156,1,"Product",0.361154273029967,"Non Celebrity","Gaze at Viewer"
38156,1,"Face",0.544506104328524,"Non Celebrity","Gaze at Viewer"
38156,1,"Elsewhere",0.0943396226415094,"Non Celebrity","Gaze at Viewer"
38156,3,"Product",0.265087079789388,"Celebrity","Gaze at Viewer"
38156,3,"Face",0.648643175374646,"Celebrity","Gaze at Viewer"
38156,3,"Elsewhere",0.086269744835966,"Celebrity","Gaze at Viewer"
38156,5,"Product",0.194402905362102,"Non Celebrity","Gaze at Viewer"
38156,5,"Face",0.618457594531083,"Non Celebrity","Gaze at Viewer"
38156,5,"Elsewhere",0.187139500106815,"Non Celebrity","Gaze at Viewer"
38156,6,"Product",0.573755656108597,"Celebrity","Gaze at Product"
38156,6,"Face",0.31289592760181,"Celebrity","Gaze at Product"
38156,6,"Elsewhere",0.113348416289593,"Celebrity","Gaze at Product"
38156,7,"Product",0.626989342806394,"Non Celebrity","Gaze at Product"
38156,7,"Face",0.363010657193606,"Non Celebrity","Gaze at Product"
38156,7,"Elsewhere",0.01,"Non Celebrity","Gaze at Product"
38156,8,"Product",0.776988932971392,"Celebrity","Gaze at Viewer"
38156,8,"Face",0.219461265399875,"Celebrity","Gaze at Viewer"
38156,8,"Elsewhere",0.00354980162873251,"Celebrity","Gaze at Viewer"
38156,9,"Product",0.603419516263552,"Non Celebrity","Gaze at Product"
38156,9,"Face",0.198290241868224,"Non Celebrity","Gaze at Product"
38156,9,"Elsewhere",0.198290241868224,"Non Celebrity","Gaze at Product"
38156,10,"Product",0.745397395599461,"Celebrity","Gaze at Product"
38156,10,"Face",0.192860350246969,"Celebrity","Gaze at Product"
38156,10,"Elsewhere",0.06174225415357,"Celebrity","Gaze at Product"
38156,11,"Product",0.575902115304852,"Non Celebrity","Gaze at Viewer"
38156,11,"Face",0.247407714641228,"Non Celebrity","Gaze at Viewer"
38156,11,"Elsewhere",0.17669017005392,"Non Celebrity","Gaze at Viewer"
38156,12,"Product",0.446272386505622,"Celebrity","Gaze at Product"
38156,12,"Face",0.248229904206581,"Celebrity","Gaze at Product"
38156,12,"Elsewhere",0.305497709287797,"Celebrity","Gaze at Product"
38156,13,"Product",0.540579710144928,"Non Celebrity","Gaze at Product"
38156,13,"Face",0.395445134575569,"Non Celebrity","Gaze at Product"
38156,13,"Elsewhere",0.0639751552795031,"Non Celebrity","Gaze at Product"
38156,15,"Product",0.653458984793317,"Celebrity","Gaze at Viewer"
38156,15,"Face",0.291068751338616,"Celebrity","Gaze at Viewer"
38156,15,"Elsewhere",0.055472263868067,"Celebrity","Gaze at Viewer"
38967,1,"Product",0.895148026315789,"Celebrity","Gaze at Product"
38967,1,"Face",0.0378289473684213,"Celebrity","Gaze at Product"
38967,1,"Elsewhere",0.0670230263157895,"Celebrity","Gaze at Product"
38967,2,"Product",0.77205387887381,"Celebrity","Gaze at Viewer"
38967,2,"Face",0.21794612112619,"Celebrity","Gaze at Viewer"
38967,2,"Elsewhere",0.01,"Celebrity","Gaze at Viewer"
38967,3,"Product",0.534465332524762,"Non Celebrity","Gaze at Product"
38967,3,"Face",0.175459874671519,"Non Celebrity","Gaze at Product"
38967,3,"Elsewhere",0.290074792803719,"Non Celebrity","Gaze at Product"
38967,4,"Product",0.757004048582996,"Non Celebrity","Gaze at Product"
38967,4,"Face",0.232995951417004,"Non Celebrity","Gaze at Product"
38967,4,"Elsewhere",0.01,"Non Celebrity","Gaze at Product"
38967,5,"Product",0.774913740612949,"Celebrity","Gaze at Product"
38967,5,"Face",0.169271361883499,"Celebrity","Gaze at Product"
38967,5,"Elsewhere",0.0558148975035521,"Celebrity","Gaze at Product"
38967,6,"Product",0.587221095334685,"Celebrity","Gaze at Viewer"
38967,6,"Face",0.368762677484787,"Celebrity","Gaze at Viewer"
38967,6,"Elsewhere",0.0440162271805274,"Celebrity","Gaze at Viewer"
38967,8,"Product",0.88474025974026,"Non Celebrity","Gaze at Product"
38967,8,"Face",0.0440340909090909,"Non Celebrity","Gaze at Product"
38967,8,"Elsewhere",0.0712256493506493,"Non Celebrity","Gaze at Product"
38967,9,"Product",0.628715874620829,"Non Celebrity","Gaze at Viewer"
38967,9,"Face",0.15510616784631,"Non Celebrity","Gaze at Viewer"
38967,9,"Elsewhere",0.216177957532861,"Non Celebrity","Gaze at Viewer"
38967,10,"Product",0.362588473205257,"Celebrity","Gaze at Product"
38967,10,"Face",0.593731041456016,"Celebrity","Gaze at Product"
38967,10,"Elsewhere",0.043680485338727,"Celebrity","Gaze at Product"
38967,11,"Product",0.338474025974025,"Non Celebrity","Gaze at Viewer"
38967,11,"Face",0.333198051948052,"Non Celebrity","Gaze at Viewer"
38967,11,"Elsewhere",0.328327922077922,"Non Celebrity","Gaze at Viewer"
38967,13,"Product",0.626823338735818,"Celebrity","Gaze at Viewer"
38967,13,"Face",0.322528363047002,"Celebrity","Gaze at Viewer"
38967,13,"Elsewhere",0.0506482982171799,"Celebrity","Gaze at Viewer"
38967,14,"Product",0.64248181083266,"Non Celebrity","Gaze at Viewer"
38967,14,"Face",0.311843168957154,"Non Celebrity","Gaze at Viewer"
38967,14,"Elsewhere",0.045675020210186,"Non Celebrity","Gaze at Viewer"
39333,6,"Product",0.251951888584089,"Non Celebrity","Gaze at Viewer"
39333,6,"Face",0.703945980164592,"Non Celebrity","Gaze at Viewer"
39333,6,"Elsewhere",0.044102131251319,"Non Celebrity","Gaze at Viewer"
39333,7,"Product",0.641650630746205,"Celebrity","Gaze at Viewer"
39333,7,"Face",0.356638871071199,"Celebrity","Gaze at Viewer"
39333,7,"Elsewhere",0.00171049818259601,"Celebrity","Gaze at Viewer"
44351,1,"Product",0.550010144045445,"Non Celebrity","Gaze at Viewer"
44351,1,"Face",0.387299655102455,"Non Celebrity","Gaze at Viewer"
44351,1,"Elsewhere",0.0626902008521,"Non Celebrity","Gaze at Viewer"
